Src/Trg,i1Htr3a,E2/3,i2/3 Pvalb,i2/3 Sst,i2/3 Htr3a,E4,i4 Pvalb,i4 Sst,i4 Htr3a,E5,i5 Pvalb,i5 Sst,i5 Htr3a,E6,i6 Pvalb,i6 Sst,i6 Htr3a
i1Htr3a,5.000,1.200,1.200,5.000,5.000,1.050,1.050,5.000,5.000,1.050,1.050,5.000,5.000,1.050,1.050,5.000,5.000
E2/3,0.000,1.750,3.750,2.500,1.500,0.760,1.600,1.080,0.640,1.260,2.660,1.820,1.085,0.525,1.125,0.750,0.450
i2/3Pva,0.000,6.000,6.000,5.000,0.000,2.480,2.480,2.080,0.000,3.050,3.050,2.550,0.000,1.800,1.800,1.500,0.000
i2/3Sst,0.000,5.000,5.000,0.000,0.000,2.080,2.080,0.000,0.000,2.550,2.550,0.000,0.000,1.500,1.500,0.000,0.000
i2/3Htr,0.000,0.000,0.000,5.000,5.000,0.000,0.000,2.080,2.080,0.000,0.000,2.550,2.550,0.000,0.000,1.500,1.500
E4,0.000,1.440,3.040,2.080,1.240,2.000,4.250,2.750,1.650,1.330,2.800,1.890,1.120,1.035,2.185,1.485,0.895
i4Pvalb,0.000,2.480,2.480,2.080,0.000,6.500,6.500,5.500,0.000,3.150,3.150,2.650,0.000,2.170,2.170,1.820,0.000
i4Sst,0.000,2.080,2.080,0.000,0.000,5.500,5.500,0.000,0.000,2.650,2.650,0.000,0.000,1.820,1.820,0.000,0.000
i4Htr3a,0.000,0.000,0.000,2.080,2.080,0.000,0.000,5.500,5.500,0.000,0.000,2.650,2.650,0.000,0.000,1.820,1.820
E5,0.000,1.260,2.660,1.820,1.085,1.330,2.800,1.890,1.120,1.850,3.900,2.650,1.600,1.110,2.340,1.590,0.960
i5Pvalb,0.000,3.050,3.050,2.550,0.000,3.150,3.150,2.650,0.000,6.200,6.200,5.200,0.000,3.050,3.050,2.550,0.000
i5Sst,0.000,2.550,2.550,0.000,0.000,2.650,2.650,0.000,0.000,5.200,5.200,0.000,0.000,2.550,2.550,0.000,0.000
i5Htr3a,0.000,0.000,0.000,2.550,2.550,0.000,0.000,2.650,2.650,0.000,0.000,5.200,5.200,0.000,0.000,2.550,2.550
E6,0.000,0.525,1.125,0.750,0.450,1.045,2.200,1.485,0.880,0.900,1.900,1.300,0.800,1.800,3.800,2.600,1.550
i6Pvalb,0.000,1.800,1.800,1.500,0.000,2.170,2.170,1.820,0.000,3.050,3.050,2.550,0.000,6.000,6.000,5.000,0.000
i6Sst,0.000,1.500,1.500,0.000,0.000,1.820,1.820,0.000,0.000,2.550,2.550,0.000,0.000,5.000,5.000,0.000,0.000
i6Htr3a,0.000,0.000,0.000,1.500,1.500,0.000,0.000,1.820,1.820,0.000,0.000,2.550,2.550,0.000,0.000,5.000,5.000
