Source,i1Htr3a,E2/3,i2/3Pvalb,i2/3Sst,i2/3Htr3a,E4,i4Pvalb,i4Sst,i4Htr3a,E5,i5Pvalb,i5Sst,i5Htr3a,E6,i6Pvalb,i6Sst,i6Htr3a
i1Htr3a,1.73,0.53,0.48,0.57,0.76,0.42,,,,0.42,0,0,,0.42,,,
E2/3,0,0.36,1.49,0.86,1.31,0.34,1.39,0.69,0.91,0.74,1.32,0.53,,0,,,
i2/3Pvalb,0.37,0.48,0.68,0.42,0.41,0.56,0.68,0.42,0.41,0.2,0.79,,,,,
i2/3Sst,0.47,0.31,0.5,0.15,0.52,0.3,0.5,0.15,0.52,0.22,,0,,,,,
i2/3Htr3a,,0.28,0.18,0.32,0.37,0.29,0.18,0.32,0.37,0,,,,,,,
E4,,0.78,1.39,0.69,0.91,0.83,1.29,0.51,0.51,0.63,1.25,0.52,0.91,0.96,,,
i4Pvalb,,0.56,0.68,0.42,0.41,0.64,0.68,0.42,0.41,0.73,0.94,0.42,0.41,,,,
i4Sst,0.39,0.3,0.5,0.15,0.52,0.29,0.5,0.15,0.52,0.28,0.45,0.28,0.52,,,,
i4Htr3a,,0.29,0.18,0.32,0.37,0.29,0.18,0.32,0.37,0,0.18,0.33,0.37,,,,
E5,0.76,0.47,1.25,0.52,0.91,0.38,1.25,0.52,0.91,0.75,1.2,0.52,1.31,0.4,2.5,0.52,1.31
i5Pvalb,0,0,0.51,,0,0.94,0.42,0.41,0.81,1.19,0.41,0.41,0.81,1.19,0.41,0.41
i5Sst,0.31,0.25,,0.39,,0.28,0.45,0.28,0.52,0.27,0.4,0.4,0.52,0.27,0.4,0.4,0.52
i5Htr3a,,,,,,0.29,0.18,0.33,0.37,0.28,0.18,0.33,0.37,0.28,0.18,0.33,0.37
E6,,0,,,,0,,,,0.23,2.5,0.52,1.31,0.94,3.8,0.52,1.31
i6Pvalb,,0.81,,,,0.81,,,,0.81,1.19,0.41,0.41,0.81,1.19,0.41,0.41
i6Sst,,,,,,,,,,0.27,0.4,0.4,0.52,0.27,0.4,0.4,0.52
i6Htr3a,,,,,,0.28,0.18,0.33,0.37,0.28,0.18,0.33,0.37,0.28,0.18,0.33,0.37
