Src/Trg,1Htr3a,E2/3,i2/3Pvalb,i2/3Sst,i2/3Htr3a,E4,i4Pvalb,i4Sst,i4Htr3a,E5,i5Pvalb,i5Sst,i5Htr3a,E6,i6Pvalb,i6Sst,i6Htr3a
1Htr3a,1.73,0.53,0.48,0.57,0.78,0.42,,,,,,,,,,,
E2/3,0.36,1.49,0.86,1.31,0.34,1.39,0.69,0.91,0.74,1.32,0.53,0,,,,,,
i2/3Pvalb,0.47,0.51,0.56,0.45,0.5,0.41,0.57,0.22,0.79,,,,,,,,,
i2/3Sst,0,0.18,0.12,0.37,0.29,0.18,0.37,,,,,,,,,,
i2/3Htr3a,0.52,0.25,0.2,0.37,0.3,0.25,0.37,,,,,,,,,,
E4,0.76,0.67,0.82,0.52,0.91,1.08,0.91,1.25,0.54,1.25,0.91,0.96,,,,,
i4Pvalb,0.55,0.68,0.41,0.37,0.27,0.5,0.63,1.25,0.52,0.41,,,,,,,
i4Sst,0.39,0.36,0.29,0.32,0.22,0.52,0.53,0.52,0.41,0.37,,,,,,,
i4Htr3a,0.41,0.28,0.2,0.37,0.37,0.28,0.41,0.37,0.37,0.29,,,,,,,
E5,0.52,0.54,0.52,0.91,0.76,1.25,0.54,1.25,1.2,0.91,1.9,0.91,0.96,,,,,
i5Pvalb,0.2,0.51,0.39,0.41,0.37,0.45,0.41,0.29,0.43,0.38,2.5,0.5,,,,,
i5Sst,0.31,0.25,0.39,0.41,0.38,0.29,0.38,0.43,0.37,0.31,1.9,0.41,,,,,
i5Htr3a,0.31,0.25,0.39,0.41,0.38,0.29,0.38,0.43,0.37,0.31,1.9,0.41,,,,,
E6,,,,,,,0.81,,,0.81,,,0.81,,3.8,,,
i6Pvalb,,,,,,,,,,,,,2.5,1.9,0.41,
i6Sst,,,,,,,,,,,,,0.27,0.4,0.52,
i6Htr3a,,,,,,,,,,,,,0.28,0.33,0.37
