Source,i1Htr3a,E2/3,i2/3Pvalb,i2/3Sst,i2/3Htr3a,E4,i4Pvalb,i4Sst,i4Htr3a,E5,i5Pvalb,i5Sst,i5Htr3a,E6,i6Pvalb,i6Sst,i6Htr3a
i1Htr3a,0.086,0.026,0.024,0.028,0.038,0.02,,,,0.02,0.0,0.0,,0.02,,,
E2/3,0.0,0.006,0.024,0.014,0.021,0.005,0.023,0.011,0.015,0.012,0.022,0.008,,0.0,,,
i2/3Pvalb,0.018,0.024,0.034,0.02,0.02,0.028,0.034,0.02,0.02,0.01,0.039,,,,,,
i2/3Sst,0.023,0.015,0.025,0.007,0.026,0.015,0.025,0.007,0.026,0.011,,0.0,,,,,
i2/3Htr3a,,0.014,0.009,0.016,0.018,0.014,0.009,0.016,0.018,0.0,,,,,,,
E4,,0.013,0.023,0.011,0.015,0.013,0.021,0.008,0.008,0.01,0.02,0.008,0.015,0.016,,,
i4Pvalb,,0.028,0.034,0.02,0.02,0.032,0.034,0.02,0.02,0.036,0.047,0.02,0.02,,,,
i4Sst,0.019,0.015,0.025,0.007,0.026,0.014,0.025,0.007,0.026,0.014,0.022,0.014,0.026,,,,
i4Htr3a,,0.014,0.009,0.016,0.018,0.014,0.009,0.016,0.018,0.0,0.009,0.016,0.018,,,,
E5,0.012,0.007,0.02,0.008,0.015,0.006,0.02,0.008,0.015,0.012,0.02,0.008,0.021,0.006,0.041,0.008,0.021
i5Pvalb,0.0,0.0,0.025,,0.0,0.047,0.02,0.02,0.04,0.059,0.02,0.02,0.04,0.059,0.02,0.02,
i5Sst,0.015,0.012,,0.019,,0.014,0.022,0.014,0.026,0.013,0.02,0.02,0.026,0.013,0.02,0.02,0.026
i5Htr3a,,,,,,0.014,0.009,0.016,0.018,0.014,0.009,0.016,0.018,0.014,0.009,0.016,0.018
E6,,0.0,,,,0.0,,,,0.003,0.041,0.008,0.021,0.015,0.063,0.008,0.021
i6Pvalb,,0.04,,,,0.04,,,,0.04,0.059,0.02,0.02,0.04,0.059,0.02,0.02
i6Sst,,,,,,,,,,0.013,0.02,0.02,0.026,0.013,0.02,0.02,0.026
i6Htr3a,,,,,,0.014,0.009,0.016,0.018,0.014,0.009,0.016,0.018,0.014,0.009,0.016,0.018
