Source,i1Htr3a,E2/3,i2/3Pvalb,i2/3Sst,i2/3Htr3a,E4,i4Pvalb,i4Sst,i4Htr3a,E5,i5Pvalb,i5Sst,i5Htr3a,E6,i6Pvalb,i6Sst,i6Htr3a
i1Htr3a,0.47300000000000003,0.117,0.132,0.15400000000000003,0.20900000000000002,0.09000000000000001,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.0
E2/3,0.0,0.09249999999999999,0.12799999999999998,0.120,0.147,0.037500000000000006,0.161,0.077,0.105,0.11,0.154,0.055999999999999994,0.0,0.0,0.0,0.0,0.0
i2/3Pvalb,0.099,0.108,0.14700000000000003,0.11000000000000001,0.11000000000000001,0.12600000000000003,0.18700000000000003,0.11000000000000001,0.11000000000000001,0.045000000000000005,0.21450000000000002,0.0,0.0,0.0,0.0,0.0,0.0
i2/3Sst,0.12650000000000003,0.0675,0.1375,0.038500000000000006,0.14300000000000002,0.0675,0.1375,0.038500000000000006,0.14300000000000002,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i2/3Htr3a,0.0,0.06300000000000001,0.0495,0.16800000000000001,0.099,0.06300000000000001,0.0495,0.08800000000000001,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,0.0,0.105,0.091,0.077,0.105,0.0775,0.147,0.125999999999999994,0.125999999999999994,0.07500000000000001,0.13999999999999999,0.100,0.105,0.12,0.0,0.0,0.0
i4Pvalb,0.0,0.081,0.07700000000000001,0.05500000000000001,0.11000000000000001,0.14400000000000002,0.18700000000000003,0.11000000000000001,0.11000000000000001,0.162,0.2585,0.11000000000000001,0.11000000000000001,0.0,0.0,0.0,0.0
i4Sst,0.10450000000000001,0.045000000000000005,0.0825,0.038500000000000006,0.08800000000000001,0.06300000000000001,0.1375,0.038500000000000006,0.11300000000000002,0.06300000000000001,0.12100000000000001,0.07700000000000001,0.14300000000000002,0.0,0.0,0.0,0.0
i4Htr3a,0.0,0.06300000000000001,0.0495,0.08800000000000001,0.099,0.06300000000000001,0.0495,0.08800000000000001,0.099,0.0,0.0495,0.08800000000000001,0.099,0.0,0.0,0.0,0.0
E5,0.08399999999999999,0.052500000000000005,0.13999999999999999,0.055999999999999994,0.105,0.045,0.13999999999999999,0.055999999999999994,0.105,0.098,0.13999999999999999,0.100,0.147,0.115,0.147,0.055999999999999994,0.147
i5Pvalb,0.0,0.0,0.1375,0.0,0.0,0.07650000000000001,0.11000000000000001,0.09000000000000001,0.09000000000000003,0.2655,0.11000000000000001,0.11000000000000001,0.22000000000000003,0.1655,0.11000000000000001,0.11000000000000001,0.0
i5Sst,0.0825,0.054,0.0,0.10450000000000001,0.0,0.06300000000000001,0.12100000000000001,0.07700000000000001,0.14300000000000002,0.0585,0.11000000000000001,0.11000000000000001,0.14300000000000002,0.0585,0.11000000000000001,0.11000000000000001,0.14300000000000002
i5Htr3a,0.0,0.0,0.0,0.0,0.0,0.06300000000000001,0.0495,0.08800000000000001,0.099,0.06300000000000001,0.0495,0.08800000000000001,0.099,0.06300000000000001,0.0495,0.08800000000000001,0.099
E6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,0.147,0.055999999999999994,0.147,0.11249999999999999,0.161,0.172,0.147
i6Pvalb,0.0,0.045000000000000005,0.0,0.0,0.0,0.045000000000000005,0.0,0.0,0.0,0.0675,0.10450000000000001,0.11000000000000001,0.11000000000000001,0.18000000000000002,0.3245,0.11000000000000001,0.11000000000000001
i6Sst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585,0.05500000000000001,0.11000000000000001,0.14300000000000002,0.0585,0.11000000000000001,0.11000000000000001,0.14300000000000002
i6Htr3a,0.0,0.0,0.0,0.0,0.0,0.06300000000000001,0.0495,0.08800000000000001,0.099,0.06300000000000001,0.0495,0.08800000000000001,0.099,0.06300000000000001,0.0495,0.08800000000000001,0.099
