Source,i1Htr3a,E2/3,i2/3Pvalb,i2/3Sst,i2/3Htr3a,E4,i4Pvalb,i4Sst,i4Htr3a,E5,i5Pvalb,i5Sst,i5Htr3a,E6,i6Pvalb,i6Sst,i6Htr3a
i1Htr3a,    0.1419,0.0351,0.0396,0.0462,0.0626,0.0270,0.0000,0.0000,0.0000,0.0270,0.0000,0.0000,0.0000,0.0270,0.0000,0.0000,0.0000
E2/3,       0.0000,0.0176,0.0591,0.0330,0.0440,0.0110,0.0483,0.0231,0.0315,0.0345,0.0462,0.0165,0.0000,0.0000,0.0000,0.0000,0.0000
i2/3Pvalb,  0.0297,0.0324,0.0561,0.0330,0.0330,0.0378,0.0561,0.0330,0.0330,0.0135,0.0642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
i2/3Sst,    0.0378,0.0401,0.0411,0.0113,0.0428,0.0201,0.0411,0.0113,0.0428,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
i2/3Htr3a,  0.0000,0.0189,0.0147,0.0324,0.0297,0.0189,0.0147,0.0263,0.0297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E4,         0.0000,0.0645,0.0272,0.0231,0.0315,0.0291,0.0440,0.0375,0.0165,0.0225,0.0417,0.0300,0.0315,0.0360,0.0000,0.0000,0.0000
i4Pvalb,    0.0000,0.0443,0.0231,0.0165,0.0330,0.0431,0.0561,0.0330,0.0330,0.0486,0.0774,0.0000,0.0330,0.0000,0.0000,0.0000,0.0000
i4Sst,      0.0312,0.0235,0.0246,0.0113,0.0263,0.0189,0.0411,0.0113,0.0339,0.0389,0.0363,0.0231,0.0428,0.0000,0.0000,0.0000,0.0000
i4Htr3a,    0.0000,0.0189,0.0147,0.0263,0.0297,0.0189,0.0147,0.0263,0.0297,0.0000,0.0147,0.0263,0.0297,0.0000,0.0000,0.0000,0.0000
E5,         0.0249,0.0156,0.0417,0.0165,0.0315,0.0135,0.0417,0.0165,0.0315,0.0194,0.0417,0.0450,0.0440,0.0335,0.0440,0.0365,0.0440
i5Pvalb,    0.0000,0.0000,0.0411,0.0000,0.0000,0.0227,0.0330,0.0270,0.0270,0.0495,0.0530,0.0000,0.0600,0.0595,0.0330,0.0030,0.0000
i5Sst,      0.0246,0.0162,0.0000,0.0312,0.0000,0.0189,0.0363,0.0231,0.0428,0.0174,0.0630,0.0330,0.0428,0.0174,0.0330,0.0030,0.0428
i5Htr3a,    0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0147,0.0263,0.0297,0.0189,0.0147,0.0363,0.0197,0.0189,0.0147,0.0163,0.0297
E6,         0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0440,0.0165,0.0440,0.0436,0.0483,0.0515,0.0440
i6Pvalb,    0.0000,0.0135,0.0000,0.0000,0.0000,0.0135,0.0000,0.0000,0.0000,0.0201,0.0312,0.0000,0.0330,0.0540,0.0972,0.0030,0.0330
i6Sst,      0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0174,0.0165,0.0330,0.0428,0.0174,0.0330,0.0330,0.0428
i6Htr3a,    0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0147,0.0263,0.0297,0.0189,0.0147,0.0263,0.0297,0.0189,0.0147,0.0363,0.0297
