Source,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
E_L23,0.014,0.045,0.028,0.025,0.002,0.0045,0.0045,0.0035,0.0,0.0,0.0,0.0,0.025,0.018,0.014,0.011,0.006,0.0045,0.0035,0.0028
PV_L23,0.024,0.068,0.038,0.032,0.006,0.012,0.008,0.006,0.0,0.0,0.0,0.0,0.008,0.015,0.01,0.008,0.0025,0.005,0.0035,0.0025
SOM_L23,0.018,0.025,0.008,0.018,0.005,0.008,0.003,0.006,0.0,0.0,0.0,0.0,0.008,0.012,0.004,0.01,0.0035,0.005,0.0018,0.004
VIP_L23,0.008,0.007,0.025,0.008,0.0015,0.0015,0.006,0.002,0.0,0.0,0.0,0.0,0.0025,0.0025,0.008,0.003,0.0008,0.0008,0.003,0.0012
E_L4AB,0.015,0.016,0.012,0.0095,0.012,0.045,0.04,0.028,0.0028,0.004,0.003,0.0022,0.018,0.013,0.009,0.007,0.005,0.004,0.0028,0.002
PV_L4AB,0.008,0.015,0.01,0.008,0.026,0.065,0.03,0.03,0.005,0.01,0.006,0.006,0.006,0.012,0.008,0.006,0.0025,0.005,0.0035,0.0025
SOM_L4AB,0.008,0.012,0.0035,0.008,0.022,0.03,0.008,0.022,0.004,0.006,0.002,0.005,0.006,0.01,0.003,0.008,0.003,0.005,0.0015,0.004
VIP_L4AB,0.0025,0.002,0.008,0.003,0.009,0.008,0.028,0.009,0.0015,0.0015,0.005,0.002,0.002,0.002,0.006,0.0025,0.0008,0.0008,0.003,0.0012
E_L4C,0.018,0.028,0.017,0.0135,0.04,0.024,0.018,0.0145,0.011,0.042,0.04,0.028,0.024,0.014,0.011,0.009,0.009,0.007,0.0055,0.0045
PV_L4C,0.006,0.012,0.008,0.006,0.008,0.015,0.01,0.008,0.03,0.07,0.038,0.032,0.005,0.01,0.006,0.006,0.004,0.008,0.005,0.004
SOM_L4C,0.006,0.01,0.003,0.008,0.006,0.01,0.003,0.008,0.022,0.032,0.008,0.022,0.005,0.008,0.0025,0.006,0.003,0.005,0.0015,0.004
VIP_L4C,0.002,0.0015,0.006,0.0025,0.002,0.0015,0.006,0.0025,0.009,0.008,0.028,0.009,0.0015,0.0015,0.005,0.002,0.0008,0.0008,0.003,0.0012
E_L5,0.008,0.0055,0.0045,0.0035,0.007,0.005,0.0035,0.0028,0.0045,0.0035,0.0028,0.002,0.013,0.048,0.046,0.032,0.018,0.013,0.011,0.0085
PV_L5,0.005,0.01,0.006,0.005,0.004,0.008,0.005,0.004,0.003,0.006,0.004,0.003,0.025,0.065,0.001,0.032,0.006,0.012,0.006,0.005
SOM_L5,0.006,0.01,0.003,0.008,0.005,0.008,0.0025,0.006,0.003,0.005,0.0015,0.004,0.025,0.035,0.01,0.025,0.008,0.012,0.004,0.01
VIP_L5,0.0025,0.002,0.008,0.003,0.002,0.002,0.006,0.0025,0.0015,0.0015,0.005,0.002,0.011,0.009,0.032,0.011,0.003,0.003,0.01,0.004
E_L6,0.0045,0.003,0.0025,0.002,0.0045,0.003,0.0022,0.0018,0.016,0.011,0.0085,0.007,0.01,0.007,0.0055,0.0045,0.0085,0.028,0.035,0.026
PV_L6,0.003,0.005,0.003,0.0025,0.003,0.006,0.004,0.003,0.008,0.015,0.01,0.008,0.006,0.012,0.008,0.006,0.028,0.06,0.028,0.032
SOM_L6,0.004,0.006,0.002,0.005,0.004,0.006,0.002,0.005,0.006,0.01,0.003,0.008,0.006,0.01,0.003,0.008,0.022,0.032,0.008,0.026
VIP_L6,0.0015,0.0012,0.005,0.002,0.0015,0.0012,0.005,0.002,0.003,0.0025,0.008,0.004,0.0035,0.003,0.01,0.004,0.011,0.009,0.03,0.011
