Source,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
E_L23,2.8,3.1,0.45,0.1,0.14,0.56,0.03,0.1,0.0,0.0,0.0,0.0,0.4,1.6,0.08,0.24,0.17,0.72,0.04,0.13
PV_L23,1.2,2.06,0.0,0.0,0.84,0.41,0.0,0.06,0.0,0.0,0.0,0.0,0.29,0.14,0.0,0.03,0.29,0.14,0.0,0.03
SOM_L23,0.4,0.45,0.0,0.02,0.06,0.1,0.0,0.005,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.005,0.02,0.06,0.0,0.0
VIP_L23,0.00,0.04,0.66,0.03,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0
E_L4AB,0.9,1.45,0.1,0.25,2.8,3.1,0.48,0.15,0.17,0.72,0.04,0.13,0.31,1.2,0.05,0.18,0.17,0.64,0.03,0.1
PV_L4AB,0.32,0.45,0.0,0.02,0.8,2.06,0.0,0.01,0.28,0.41,0.0,0.02,0.22,0.28,0.0,0.01,0.14,0.18,0.0,0.01
SOM_L4AB,0.08,0.14,0.0,0.005,0.48,0.55,0.0,0.01,0.08,0.14,0.0,0.005,0.04,0.08,0.0,0.0,0.03,0.08,0.0,0.0
VIP_L4AB,0.0,0.0,0.07,0.0,0.00,0.04,0.6,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0
E_L4C,1.5,1.95,0.36,0.3,1.5,1.95,0.36,0.35,1.8,2.8,0.42,0.2,0.3,1.1,0.04,0.15,0.2,0.8,0.04,0.13
PV_L4C,0.15,0.42,0.0,0.02,0.4,0.5,0.0,0.03,0.8,2.36,0.0,0.00,0.3,0.44,0.0,0.02,0.16,0.24,0.0,0.01
SOM_L4C,0.04,0.08,0.0,0.0,0.08,0.14,0.0,0.005,0.84,0.65,0.0,0.05,0.08,0.14,0.0,0.005,0.04,0.08,0.0,0.0
VIP_L4C,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.00,0.04,0.66,0.14,0.0,0.0,0.07,0.0,0.0,0.0,0.04,0.0
E_L5,0.7,1.0,0.9,0.15,0.55,0.9,0.45,0.15,0.35,0.9,0.28,0.12,2.4,3.0,0.63,0.5,0.34,1.44,0.06,0.15
PV_L5,0.16,0.18,0.0,0.01,0.2,0.24,0.0,0.01,0.4,0.44,0.0,0.02,1.0,2.16,0.0,0.0,0.35,0.41,0.0,0.06
SOM_L5,0.03,0.08,0.0,0.0,0.04,0.08,0.0,0.0,0.1,0.16,0.0,0.005,0.89,0.6,0.0,0.01,0.08,0.14,0.0,0.02
VIP_L5,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.00,0.04,0.57,0.01,0.0,0.0,0.07,0.0
E_L6,0.45,0.75,0.36,0.16,0.45,1.2,0.38,0.15,0.55,0.7,0.48,0.15,0.4,1.1,0.08,0.18,2.4,3.0,0.54,0.15
PV_L6,0.12,0.34,0.0,0.01,0.18,0.2,0.0,0.01,0.1,0.35,0.0,0.02,0.35,0.41,0.0,0.02,1.0,2.16,0.0,0.0
SOM_L6,0.05,0.10,0.0,0.0,0.03,0.08,0.0,0.0,0.09,0.08,0.0,0.0,0.08,0.14,0.0,0.005,0.95,0.6,0.0,0.02
VIP_L6,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.00,0.04,0.66,0.01
