,VIP_L1,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
VIP_L1,     0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
E_L23,0.000,0.0066,0.0215,0.0068,0.0168,0.00198,0.00648,0.0014399999999999999,0.00504,0.0,0.0,0.0,0.0,0.00396,0.01296,0.0028799999999999997,0.01008,0.0,0.0,0.0,0.0
PV_L23,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L23,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L23,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_L4AB,0.000,0.0166,0.021599999999999998,0.0048,0.016800000000000002,0.00396,0.01296,0.0028799999999999997,0.01008,0.00198,0.00648,0.0014399999999999999,0.00504,0.00396,0.01296,0.0028799999999999997,0.01008,0.00198,0.00648,0.0014399999999999999,0.00504
PV_L4AB,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L4AB,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L4AB,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_L4C,0.000,0.0136,0.011599999999999998,0.0048,0.006800000000000002,0.0136,0.021599999999999998,0.0048,0.016800000000000002,0.00396,0.01296,0.0028799999999999997,0.01008,0.00198,0.00648,0.0014399999999999999,0.00504,0.00198,0.00648,0.0014399999999999999,0.00504
PV_L4C,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L4C,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L4C,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_L5,0.000,0.00396,0.01296,0.0028799999999999997,0.01008,0.00396,0.01296,0.0028799999999999997,0.01008,0.00198,0.00648,0.0014399999999999999,0.00504,0.0066,0.021599999999999998,0.0048,0.016800000000000002,0.00396,0.01296,0.0028799999999999997,0.01008
PV_L5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_L6,0.000,0.00198,0.00648,0.0014399999999999999,0.00504,0.0066,0.021599999999999998,0.0048,0.016800000000000002,0.0066,0.021599999999999998,0.0048,0.016800000000000002,0.00198,0.00648,0.0014399999999999999,0.00504,0.0066,0.021599999999999998,0.007,0.016800000000000002
PV_L6,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOM_L6,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIP_L6,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
