,E_L23,PV_L23,SOM_L23,VIP_L23,E_L4AB,PV_L4AB,SOM_L4AB,VIP_L4AB,E_L4C,PV_L4C,SOM_L4C,VIP_L4C,E_L5,PV_L5,SOM_L5,VIP_L5,E_L6,PV_L6,SOM_L6,VIP_L6
E_L23,      0.100,0.395,0.242,0.235,0.008,0.042,0.042,0.042,0.005,0.025,0.025,0.025,0.224,0.181,0.102,0.000,0.224,0.181,0.000,0.000
PV_L23,     0.361,0.451,0.030,0.220,0.025,0.025,0.025,0.025,0.015,0.015,0.015,0.015,0.070,0.073,0.000,0.000,0.000,0.000,0.000,0.000
SOM_L23,    0.404,0.457,0.082,0.270,0.025,0.025,0.025,0.025,0.015,0.015,0.015,0.015,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000
VIP_L23,    0.087,0.020,0.525,0.028,0.025,0.025,0.025,0.025,0.015,0.015,0.015,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
E_L4AB,     0.220,0.180,0.110,0.080,0.243,0.430,0.291,0.391,0.007,0.002,0.040,0.080,0.224,0.181,0.098,0.050,0.224,0.181,0.000,0.000
PV_L4AB,    0.080,0.055,0.055,0.055,0.437,0.551,0.030,0.220,0.005,0.000,0.002,0.008,0.088,0.091,0.030,0.030,0.000,0.000,0.000,0.000
SOM_L4AB,   0.080,0.055,0.055,0.055,0.351,0.457,0.002,0.170,0.000,0.003,0.003,0.008,0.026,0.030,0.000,0.030,0.000,0.000,0.000,0.000
VIP_L4AB,   0.020,0.055,0.055,0.055,0.151,0.020,0.385,0.028,0.000,0.008,0.000,0.011,0.000,0.030,0.030,0.030,0.000,0.000,0.000,0.000
E_L4C,      0.180,0.155,0.075,0.050,0.210,0.186,0.050,0.080,0.243,0.400,0.471,0.371,0.047,0.030,0.030,0.030,0.032,0.000,0.000,0.000
PV_L4C,     0.080,0.050,0.050,0.050,0.100,0.080,0.000,0.064,0.437,0.551,0.030,0.220,0.030,0.010,0.030,0.030,0.000,0.000,0.000,0.000
SOM_L4C,    0.080,0.050,0.050,0.050,0.100,0.080,0.048,0.024,0.351,0.557,0.082,0.370,0.026,0.030,0.000,0.030,0.000,0.000,0.000,0.000
VIP_L4C,    0.020,0.050,0.050,0.050,0.100,0.080,0.055,0.034,0.251,0.020,0.325,0.028,0.030,0.030,0.030,0.030,0.000,0.000,0.000,0.000
E_L5,       0.120,0.050,0.050,0.050,0.100,0.050,0.050,0.050,0.060,0.050,0.050,0.050,0.116,0.283,0.163,0.105,0.180,0.030,0.030,0.030
PV_L5,      0.000,0.102,0.000,0.000,0.000,0.034,0.030,0.030,0.000,0.034,0.030,0.030,0.455,0.661,0.030,0.220,0.030,0.010,0.010,0.010
SOM_L5,     0.169,0.000,0.017,0.000,0.056,0.030,0.006,0.030,0.056,0.030,0.006,0.030,0.317,0.657,0.040,0.570,0.030,0.010,0.010,0.010
VIP_L5,     0.000,0.000,0.000,0.000,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.125,0.020,0.525,0.020,0.030,0.010,0.010,0.010
E_L6,       0.150,0.080,0.040,0.020,0.180,0.100,0.060,0.040,0.280,0.120,0.080,0.050,0.140,0.070,0.040,0.020,0.026,0.115,0.120,0.100
PV_L6,      0.120,0.050,0.030,0.020,0.180,0.090,0.050,0.030,0.150,0.080,0.040,0.020,0.100,0.050,0.030,0.020,0.300,0.450,0.000,0.080
SOM_L6,     0.180,0.100,0.060,0.040,0.120,0.070,0.050,0.030,0.100,0.060,0.040,0.025,0.140,0.080,0.050,0.030,0.250,0.250,0.000,0.050
VIP_L6,     0.050,0.030,0.020,0.010,0.040,0.025,0.020,0.015,0.040,0.025,0.020,0.015,0.050,0.030,0.020,0.015,0.100,0.050,0.100,0.030
