Source,i1Htr3a,E2/3,i2/3Pvalb,i2/3Sst,i2/3Htr3a,E4C,i4CPvalb,i4CSst,i4CHtr3a,E4AB,i4ABPvalb,i4ABSst,i4ABHtr3a,E5,i5Pvalb,i5Sst,i5Htr3a,E6,i6Pvalb,i6Sst,i6Htr3a
i1Htr3a,0.656,0.356,0.093,0.068,0.464,0.040,0.000,0.000,0.000,0.108,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.078,0.000,0.000,0.000
E2/3,0.000,0.360,0.310,0.310,0.310,0.000,0.002,0.002,0.002,0.002,0.006,0.006,0.006,0.350,0.250,0.182,0.160,0.200,0.000,0.000,0.000
i2/3Pvalb,0.024,0.502,0.303,0.060,0.240,0.054,0.002,0.003,0.003,0.054,0.002,0.003,0.003,0.040,0.273,0.000,0.000,0.000,0.000,0.000,0.000
i2/3Sst,0.279,0.378,0.714,0.164,0.210,0.025,0.002,0.025,0.003,0.025,0.002,0.025,0.003,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000
i2/3Htr3a,0.000,0.187,0.150,0.512,0.028,0.025,0.002,0.003,0.003,0.025,0.002,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
E4C,0.000,0.050,0.040,0.035,0.015,0.320,0.350,0.400,0.300,0.400,0.300,0.250,0.200,0.215,0.115,0.112,0.115,0.012,0.000,0.000,0.000
i4CPvalb,0.000,0.013,0.048,0.001,0.001,0.450,0.400,0.040,0.200,0.090,0.040,0.025,0.040,0.022,0.010,0.010,0.010,0.000,0.000,0.000,0.000
i4CSst,0.060,0.013,0.023,0.001,0.001,0.600,0.450,0.050,0.180,0.150,0.080,0.000,0.045,0.007,0.010,0.000,0.010,0.000,0.000,0.000,0.000
i4CHtr3a,0.000,0.013,0.001,0.022,0.001,0.250,0.015,0.650,0.020,0.050,0.005,0.055,0.008,0.000,0.010,0.010,0.010,0.000,0.000,0.000,0.000
E4AB,0.000,0.400,0.230,0.205,0.070,0.020,0.020,0.020,0.020,0.387,0.400,0.470,0.370,0.155,0.146,0.130,0.145,0.024,0.000,0.000,0.000
i4ABPvalb,0.000,0.050,0.170,0.005,0.005,0.040,0.028,0.028,0.028,0.490,0.435,0.041,0.218,0.063,0.026,0.017,0.017,0.000,0.000,0.000,0.000
i4ABSst,0.080,0.050,0.088,0.005,0.005,0.100,0.028,0.028,0.028,0.670,0.400,0.057,0.208,0.017,0.017,0.000,0.017,0.000,0.000,0.000,0.000
i4ABHtr3a,0.000,0.050,0.005,0.078,0.005,0.000,0.010,0.018,0.010,0.268,0.016,0.745,0.024,0.000,0.017,0.017,0.017,0.000,0.000,0.000,0.000
E5,0.017,0.021,0.050,0.150,0.050,0.004,0.025,0.025,0.025,0.004,0.025,0.025,0.025,0.466,0.473,0.563,0.445,0.150,0.110,0.190,0.170
i5Pvalb,0.000,0.000,0.102,0.000,0.000,0.000,0.017,0.015,0.015,0.000,0.017,0.015,0.015,0.555,0.661,0.030,0.020,0.060,0.090,0.010,0.010
i5Sst,0.203,0.020,0.000,0.017,0.000,0.028,0.015,0.003,0.015,0.028,0.015,0.003,0.015,0.517,0.657,0.040,0.070,0.070,0.100,0.010,0.010
i5Htr3a,0.000,0.000,0.000,0.000,0.000,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.325,0.020,0.725,0.020,0.030,0.010,0.080,0.010
E6,0.000,0.000,0.000,0.000,0.000,0.150,0.090,0.090,0.040,0.090,0.055,0.055,0.040,0.112,0.010,0.010,0.010,0.426,0.445,0.560,0.425
i6Pvalb,0.000,0.100,0.000,0.000,0.000,0.050,0.030,0.000,0.000,0.050,0.030,0.000,0.000,0.100,0.030,0.030,0.030,0.750,0.850,0.080,0.160
i6Sst,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.025,0.000,0.000,0.030,0.030,0.030,0.030,0.610,0.650,0.050,0.050
i6Htr3a,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.030,0.030,0.030,0.300,0.050,0.864,0.030
