Source,i1Htr3a,E2/3,i2/3Pvalb,i2/3Sst,i2/3Htr3a,E4,i4Pvalb,i4Sst,i4Htr3a,E5,i5Pvalb,i5Sst,i5Htr3a,E6,i6Pvalb,i6Sst,i6Htr3a
i1Htr3a,  0.656,0.356,0.093,0.068,0.464,0.148,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.078,0.000,0.000,0.000
E2/3,     0.000,0.360,0.310,0.410,0.310,0.002,0.008,0.008,0.008,0.550,0.361,0.382,0.260,0.000,0.000,0.000,0.000
i2/3Pvalb,0.024,0.502,0.303,0.060,0.140,0.107,0.003,0.005,0.005,0.040,0.073,0.000,0.000,0.000,0.000,0.000,0.000
i2/3Sst,  0.279,0.378,0.714,0.164,0.110,0.050,0.003,0.050,0.005,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000
i2/3Htr3a,0.000,0.187,0.020,0.712,0.028,0.050,0.003,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
E4,       0.000,0.250,0.190,0.170,0.060,0.423,0.445,0.515,0.416,0.054,0.051,0.028,0.050,0.032,0.000,0.000,0.000
i4Pvalb,  0.000,0.050,0.185,0.005,0.005,0.540,0.481,0.045,0.240,0.088,0.041,0.030,0.030,0.000,0.000,0.000,0.000
i4Sst,    0.241,0.050,0.090,0.005,0.005,0.751,0.445,0.162,0.225,0.026,0.030,0.000,0.030,0.000,0.000,0.000,0.000
i4Htr3a,  0.000,0.050,0.005,0.085,0.005,0.301,0.020,0.825,0.028,0.000,0.030,0.030,0.030,0.000,0.000,0.000,0.000
E5,       0.017,0.021,0.050,0.050,0.050,0.007,0.050,0.050,0.050,0.466,0.473,0.463,0.445,0.450,0.310,0.390,0.270
i5Pvalb,  0.000,0.000,0.102,0.000,0.000,0.000,0.034,0.030,0.030,0.655,0.661,0.030,0.020,0.060,0.090,0.010,0.010
i5Sst,    0.203,0.020,0.000,0.017,0.000,0.056,0.030,0.006,0.030,0.617,0.857,0.040,0.170,0.070,0.100,0.010,0.010
i5Htr3a,  0.000,0.000,0.000,0.000,0.000,0.030,0.030,0.030,0.030,0.525,0.020,0.625,0.020,0.030,0.010,0.080,0.010
E6,       0.000,0.000,0.000,0.000,0.000,0.180,0.110,0.110,0.080,0.112,0.010,0.010,0.010,0.426,0.445,0.460,0.425
i6Pvalb,  0.000,0.100,0.000,0.000,0.000,0.100,0.060,0.000,0.000,0.100,0.030,0.030,0.030,0.750,0.850,0.080,0.160
i6Sst,    0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.030,0.030,0.030,0.030,0.610,0.650,0.050,0.050
i6Htr3a,  0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.030,0.030,0.030,0.600,0.050,0.864,0.030
