Source,i1Htr3a,E2/3,i2/3Pvalb,i2/3Sst,i2/3Htr3a,E4,i4Pvalb,i4Sst,i4Htr3a,E5,i5Pvalb,i5Sst,i5Htr3a,E6,i6Pvalb,i6Sst,i6Htr3a
i1Htr3a,0.92960000000000003,0.8424,0.3255,0.23800000000000002,0.8624,0.592,0.0,0.0,0.0,0.592,0.0,0.0,0.0,0.312,0.0,0.0,0.0
E2/3,0.0,0.32,0.6975,0.9225,0.4725,0.008,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.72,0.27449999999999997,0.369,0.27,0.0,0.0,0.0,0.0
i2/3Pvalb,0.084,0.604,0.5285,0.105,0.42,0.028,0.0105,0.0175,0.0175,0.16,0.2555,0.0,0.0,0.0,0.0,0.0,0.0
i2/3Sst,0.9765000000000001,0.656,0.8995,0.28700000000000003,0.3675,0.2,0.0105,0.17500000000000002,0.0175,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i2/3Htr3a,0.0,0.348,0.07,0.81375,0.098,0.2,0.0105,0.0175,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,0.0,0.6,0.31500000000000006,0.31500000000000006,0.27,0.492,0.5175000000000001,0.6075,0.6120000000000001,0.216,0.22949999999999998,0.126,0.225,0.128,0.0,0.0,0.0
i4Pvalb,0.0,0.2,0.29750000000000004,0.0175,0.0175,0.456,0.4235,0.0525,0.385,0.352,0.14350000000000002,0.105,0.105,0.0,0.0,0.0,0.0
i4Sst,0.8434999999999999,0.2,0.315,0.0175,0.0175,0.724,0.7875,0.14700000000000002,0.47250000000000003,0.104,0.105,0.0,0.105,0.0,0.0,0.0,0.0
i4Htr3a,0.0,0.2,0.0175,0.29750000000000004,0.0175,0.044,0.07,0.81375,0.098,0.0,0.105,0.105,0.105,0.0,0.0,0.0,0.0
E5,0.07650000000000001,0.084,0.225,0.225,0.225,0.028,0.225,0.225,0.225,0.564,0.5085000000000001,0.5535,0.4725,0.72,0.495,0.40499999999999997,0.31500000000000006
i5Pvalb,0.0,0.0,0.357,0.0,0.0,0.0,0.11900000000000001,0.105,0.105,0.842,0.82635,0.105,0.07,0.24,0.315,0.035,0.035
i5Sst,0.7105,0.08,0.0,0.059500000000000004,0.0,0.224,0.105,0.021,0.105,0.868,0.99995,0.14,0.9450000000000001,0.28,0.35000000000000003,0.035,0.035
i5Htr3a,0.0,0.0,0.0,0.0,0.0,0.12,0.105,0.105,0.105,0.5,0.07,0.91875,0.07,0.12,0.035,0.28,0.035
E6,0.0,0.0,0.0,0.0,0.0,0.72,0.495,0.495,0.36,0.048,0.045,0.045,0.045,0.704,0.6525,0.72,0.5625
i6Pvalb,0.0,0.4,0.0,0.0,0.0,0.4,0.21,0.0,0.0,0.4,0.105,0.105,0.105,0.84,0.875,0.28,0.28
i6Sst,0.0,0.0,0.0,0.0,0.0,0.0,0.17500000000000002,0.0,0.0,0.12,0.105,0.105,0.105,0.84,0.8575,0.17500000000000002,0.17500000000000002
i6Htr3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.105,0.105,0.105,0.4,0.17500000000000002,0.8274,0.105
